S0,S1,S2,S3,Y
233244,122874,327660,31558,1
233224,122886,327660,31565,1
233232,122867,327660,31567,1
233233,122850,327660,31544,1
233189,122865,327660,31566,1
233241,122870,327660,31549,1
233248,122858,327660,31559,1
233216,122873,327660,31555,1
233227,122859,327660,31559,1
233227,122850,327660,31572,1
233230,122860,327660,31563,1
233219,122883,327660,31564,1
233249,122870,327660,31557,1
233239,122862,327660,31561,1
233231,122872,327660,31551,1
233227,122862,327660,31569,1
233238,122858,327660,31555,1
233206,122910,327660,31578,1
233353,122933,327660,31583,1
233380,122824,327660,31549,1
233152,122898,327660,31553,1
233306,122850,327660,31570,1
233208,122881,327660,31566,1
233257,122878,327660,31569,1
233260,122876,327660,31548,1
233270,122870,327660,31562,1
233241,122866,327660,31556,1
233228,122870,327660,31561,1
233246,122866,327660,31557,1
233215,122871,327660,31560,1
233235,122880,327660,31573,1
233267,122874,327660,31560,1
233251,122858,327660,31556,1
233215,122847,327660,31554,1
233196,122898,327660,31574,1
233312,122904,327660,31573,1
233321,122839,327660,31563,1
233207,122943,327660,31590,1
233387,122840,327660,31538,1
233170,122855,327660,31559,1
233181,122853,327660,31543,1
233237,122864,327660,31558,1
233220,122857,327660,31572,1
233233,122866,327660,31565,1
233253,122866,327660,31571,1
233254,122851,327660,31555,1
233222,122861,327660,31560,1
233229,122871,327660,31564,1
233269,122877,327660,31557,1
233253,122863,327660,31567,1
233235,122872,327660,31554,1
233225,122853,327660,31546,1
233213,123050,327660,31633,1
233734,122796,327660,31561,1
233113,122912,327660,31566,1
233396,122940,327660,31587,1
233439,123047,327660,31619,1
233731,122815,327660,31545,1
233158,122792,327660,31542,1
233119,122882,327660,31582,1
233357,122877,327660,31565,1
233344,122876,327660,31569,1
233363,122866,327660,31573,1
233304,122894,327660,31576,1
233358,122889,327660,31577,1
